url_path,views_total,views_unique
/cschu/gff_quantifier,8,3
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier,6,1
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier/latest-report,5,1
/cschu/gff_quantifier/blob/github-repo-stats/cschu/gff_quantifier/latest-report/report.md,4,1
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier/ghrs-data,4,1
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier/ghrs-data/snapshots,4,1
/cschu/gff_quantifier/tree/main/.github/workflows,4,1
/cschu/gff_quantifier/actions/runs/9269672986,2,1
/cschu/gff_quantifier/actions/workflows/grstats.yml,2,1
/cschu/gff_quantifier/blob/github-repo-stats/cschu/gff_quantifier/ghrs-data/forks.csv,2,1
